Model,MAE,R2,Adjusted R2,MAPE (%),Hyperparameters,Comment
Ridge Regression,34.11,0.545,0.384,105.84%,{'alpha': 100},GridSearchCV tuned Ridge Regression (3-fold)
Ridge Regression (Log Transformed),21.96,0.57,0.418,20.92%,{'alpha': 100},Log1p transform on target with inverse expm1 during eval
Ridge + Poly (No Log),53.07,-0.92,12.042,223.9%,"{'alpha': 100, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}","Polynomial Features (deg=2), no log-transform"
Ridge + Poly + Log,45.75,-6.205,42.427,22.99%,"{'alpha': 100, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}","Polynomial Features (deg=2), log1p on target, expm1 during eval"
Linear Regression,35.27,0.493,0.314,114.67%,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",default linear regression
Linear Regression (Log Transformed),24.65,0.317,0.076,21.93%,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",Log1p transform on target with inverse expm1 during eval
Random Forest Regression,41.86,0.27,0.012,83.12%,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",default random forest
Random Forest Regression Grid search hyperparameter tuning,44.74,0.227,-0.045,105.97%,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",Complex GridSearchCV tuned Random Forest (3-fold)
Random Forest Regression (Randomized Tuning),41.9,0.293,0.044,86.14%,"{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 235}","RandomizedSearchCV tuned Random Forest (3-fold, 50 trials)"
Random Forest (Log Transformed),38.9,0.258,-0.003,59.22%,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",Vanilla RF with log1p target + expm1 inverse
Random Forest (Log + RandomSearch),39.6,0.243,-0.024,61.04%,"{'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 286}",RandomizedSearchCV + log1p target + expm1 inverse
MLP Regressor,49.6,0.026,-0.317,91.42%,"{'layers': [32], 'epochs': 100, 'lr': 0.01, 'batch_size': 16}",default MLP
MLP (Optuna - No log transform),47.6,0.068,-0.26,89.46%,"{'hidden_layer_sizes': '(64,)', 'activation': 'relu', 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 600}",Optuna tuned PyTorch MLP on normal target
MLP (Optuna - Log transformed),41.87,0.172,-0.12,62.71%,"{'hidden_layer_sizes': '(100, 50, 25)', 'activation': 'relu', 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 400}",Optuna tuned PyTorch MLP on log1p target with expm1 inverse
XGBoost Regressor,46.8,0.125,-0.184,85.62%,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",default XGBoost
XGBoost + GridSearch,44.98,0.167,-0.128,79.26%,"{'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 150}",GridSearchCV tuned XGBoost (no log)
XGBoost + GridSearch (Log),0.52,0.476,0.291,13.57%,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150}",GridSearchCV tuned XGBoost with log1p target + expm1 inverse
